"short_name","scientific_name","category"
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis","Bird"
"Inland Thornbill","Acanthiza apicalis","Bird"
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa","Bird"
"Striated Thornbill","Acanthiza lineata","Bird"
"Yellow Thornbill","Acanthiza nana","Bird"
"Brown Thornbill","Acanthiza pusilla","Bird"
"Buff-rumped Thornbill","Acanthiza reguloides","Bird"
"Chestnut-rumped Thornbill","Acanthiza uropygialis","Bird"
"Eastern Spinebill","Acanthorhynchus tenuirostris","Bird"
"Common Myna","Acridotheres tristis","Bird"
"Australian Reed Warbler","Acrocephalus australis","Bird"
"Common Sandpiper","Actitis hypoleucos","Bird"
"Tusked Frog","Adelotus brevis","Frog"
"Australian Owlet Nightjar","Aegotheles cristatus","Bird"
"Plum-headed Finch","Aidemosyne modesta","Bird"
"Green Catbird","Ailuroedus crassirostris","Bird"
"Eurasian Skylark","Alauda arvensis","Bird"
"Floury Baker","Aleeta curvicosta","Cicada"
"Australian King-Parrot","Alisterus scapularis","Bird"
"Grey Grasswren","Amytornis barbatus","Bird"
"Eyrean Grasswren","Amytornis goyderi","Bird"
"Thick-billed Grasswren","Amytornis modestus","Bird"
"Red-capped Plover","Anarhynchus ruficapillus","Bird"
"Chestnut Teal","Anas castanea","Bird"
"Grey Teal","Anas gracilis","Bird"
"Pacific Black Duck","Anas superciliosa","Bird"
"Australasian Darter","Anhinga novaehollandiae","Bird"
"Red Wattlebird","Anthochaera carunculata","Bird"
"Little Wattlebird","Anthochaera chrysoptera","Bird"
"Regent Honeyeater","Anthochaera phrygia","Bird"
"Australian Pipit","Anthus novaeseelandiae","Bird"
"Brolga","Antigone rubicunda","Bird"
"Southern Whiteface","Aphelocephala leucopsis","Bird"
"Banded Whiteface","Aphelocephala nigricincta","Bird"
"Red-winged Parrot","Aprosmictus erythropterus","Bird"
"Wedge-tailed Eagle","Aquila audax","Bird"
"Great Egret","Ardea alba","Bird"
"Eastern Cattle Egret","Ardea coromanda","Bird"
"White-necked Heron","Ardea pacifica","Bird"
"Plumed Egret","Ardea plumifera","Bird"
"Australian Bustard","Ardeotis australis","Bird"
"Black-faced Woodswallow","Artamus cinereus","Bird"
"Dusky Woodswallow","Artamus cyanopterus","Bird"
"White-breasted Woodswallow","Artamus leucorynchus","Bird"
"Little Woodswallow","Artamus minor","Bird"
"Masked Woodswallow","Artamus personatus","Bird"
"White-browed Woodswallow","Artamus superciliosus","Bird"
"White Drummer","Arunta perulata","Cicada"
"Sandstone Squeaker","Atrapsalta collina","Cicada"
"Bark Squeaker","Atrapsalta corticina","Cicada"
"Black Squeaker","Atrapsalta encaustica","Cicada"
"Olive-green Coastal Katydid","Austrosalomona falcata","Orthopteran"
"Pacific Baza","Aviceda subcristata","Bird"
"Hardhead","Aythya australis","Bird"
"Australian Ringneck","Barnardius zonarius","Bird"
"Red Tree-ticker","Birrima castanea","Cicada"
"Musk Duck","Biziura lobata","Bird"
"Cattle","Bos taurus","Non-human mammal"
"Desert Screamer","Burbunga hillieri","Cicada"
"Bush Thick-knee","Burhinus grallarius","Bird"
"Sulphur-crested Cockatoo","Cacatua galerita","Bird"
"Pink Cockatoo","Cacatua leadbeateri","Bird"
"Little Corella","Cacatua sanguinea","Bird"
"Long-billed Corella","Cacatua tenuirostris","Bird"
"Fan-tailed Cuckoo","Cacomantis flabelliformis","Bird"
"Sahul Brush Cuckoo","Cacomantis variolosus","Bird"
"Rufous Fieldwren","Calamanthus campestris","Bird"
"Sharp-tailed Sandpiper","Calidris acuminata","Bird"
"Curlew Sandpiper","Calidris ferruginea","Bird"
"Yellow-faced Honeyeater","Caligavis chrysops","Bird"
"Gang-gang Cockatoo","Callocephalon fimbriatum","Bird"
"Red-tailed Black-Cockatoo","Calyptorhynchus banksii","Bird"
"Yellow-tailed Black-Cockatoo","Calyptorhynchus funereus","Bird"
"Glossy Black-Cockatoo","Calyptorhynchus lathami","Bird"
"Domestic Dog","Canis lupis familiaris","Non-human mammal"
"Dingo","Canis lupus dingo","Non-human mammal"
"Goat","Capra hircus","Non-human mammal"
"European Goldfinch","Carduelis carduelis","Bird"
"Pheasant Coucal","Centropus phasianinus","Bird"
"Pied Honeyeater","Certhionyx variegatus","Bird"
"Azure Kingfisher","Ceyx azureus","Bird"
"Horsfield's Bronze-Cuckoo","Chalcites basalis","Bird"
"Shining Bronze-Cuckoo","Chalcites lucidus","Bird"
"Black-eared Cuckoo","Chalcites osculans","Bird"
"Pacific Emerald Dove","Chalcophaps longirostris","Bird"
"Australian Wood Duck","Chenonetta jubata","Bird"
"White-backed Swallow","Cheramoeca leucosterna","Bird"
"Whiskered Tern","Chlidonias hybrida","Bird"
"Dainty Tree Frog","Chlorohyla gracilenta","Frog"
"Silver Gull","Chroicocephalus novaehollandiae","Bird"
"Brown Songlark","Cincloramphus cruralis","Bird"
"Rufous Songlark","Cincloramphus mathewsi","Bird"
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum","Bird"
"Spotted Quail-thrush","Cinclosoma punctatum","Bird"
"Swamp Harrier","Circus approximans","Bird"
"Golden-headed Cisticola","Cisticola exilis","Bird"
"Red-browed Treecreeper","Climacteris erythrops","Bird"
"Brown Treecreeper","Climacteris picumnus","Bird"
"Ferny Acacia Cicada","Clinopsalta autumna","Cicada"
"Screaming Tree Frog","Colleeneremia quiritatus","Frog"
"Desert Tree Frog","Colleeneremia rubella","Frog"
"Grey Shrikethrush","Colluricincla harmonica","Bird"
"Little Shrikethrush","Colluricincla megarhyncha","Bird"
"White-headed Pigeon","Columba leucomela","Bird"
"Rock Dove","Columba livia","Bird"
"Whittish Meadow Katydid","Conocephalus albescens","Orthopteran"
"Greenish Meadow Katydid","Conocephalus upoluensis","Orthopteran"
"Ground Cuckooshrike","Coracina maxima","Bird"
"Black-faced Cuckooshrike","Coracina novaehollandiae","Bird"
"White-bellied Cuckooshrike","Coracina papuensis","Bird"
"White-winged Chough","Corcorax melanorhamphos","Bird"
"White-throated Treecreeper","Cormobates leucophaea","Bird"
"Little Crow","Corvus bennetti","Bird"
"Australian Raven","Corvus coronoides","Bird"
"Little Raven","Corvus mellori","Bird"
"Torresian Crow","Corvus orru","Bird"
"Forest Raven","Corvus tasmanicus","Bird"
"Stubble Quail","Coturnix pectoralis","Bird"
"Pied Butcherbird","Cracticus nigrogularis","Bird"
"Grey Butcherbird","Cracticus torquatus","Bird"
"Desert Froglet","Crinia deserticola","Frog"
"Eastern Sign-bearing Froglet","Crinia parinsignifera","Frog"
"Common Eastern Froglet","Crinia signifera","Frog"
"Wallum Froglet","Crinia tinnula","Frog"
"Green Grocer","Cyclochila australasiae","Cicada"
"Eastern Water-holding Frog","Cyclorana platycephala","Frog"
"Black Swan","Cygnus atratus","Bird"
"Bladder Cicada","Cystosoma saundersii","Cicada"
"Laughing Kookaburra","Dacelo novaeguineae","Bird"
"Varied Sittella","Daphoenositta chrysoptera","Bird"
"Eastern Bristlebird","Dasyornis brachypterus","Bird"
"Plumed Whistling Duck","Dendrocygna eytoni","Bird"
"Mistletoebird","Dicaeum hirundinaceum","Bird"
"Spangled Drongo","Dicrurus bracteatus","Bird"
"Golden Twanger","Diemeniana euronotiana","Cicada"
"Flies","Diptera","Other insect"
"Emu","Dromaius novaehollandiae","Bird"
"Southern Scrub-robin","Drymodes brunneopygia","Bird"
"Eastern Dwarf Tree Frog","Drymomantis fallax","Frog"
"Sahul Cicadabird","Edolisoma tenuirostre","Bird"
"Little Egret","Egretta garzetta","Bird"
"White-faced Heron","Egretta novaehollandiae","Bird"
"Black-shouldered Kite","Elanus axillaris","Bird"
"Letter-winged Kite","Elanus scriptus","Bird"
"Desert Leaf Katydid","Elephantodeta sp","Orthopteran"
"Painted Finch","Emblema pictum","Bird"
"Blue-faced Honeyeater","Entomyzon cyanotis","Bird"
"Galah","Eolophus roseicapilla","Bird"
"Eastern Yellow Robin","Eopsaltria australis","Bird"
"White-fronted Chat","Epthianura albifrons","Bird"
"Orange Chat","Epthianura aurifrons","Bird"
"Yellow Chat","Epthianura crocea","Bird"
"Crimson Chat","Epthianura tricolor","Bird"
"Red-kneed Dotterel","Erythrogonys cinctus","Bird"
"Pacific Koel","Eudynamys orientalis","Bird"
"Mottled Bush Cricket","Eurepa marginipennis","Orthopteran"
"Spotted Nightjar","Eurostopodus argus","Bird"
"White-throated Nightjar","Eurostopodus mystacalis","Bird"
"Dollarbird","Eurystomus orientalis","Bird"
"Brown Falcon","Falco berigora","Bird"
"Nankeen Kestrel","Falco cenchroides","Bird"
"Australian Hobby","Falco longipennis","Bird"
"Peregrine Falcon","Falco peregrinus","Bird"
"Black Falcon","Falco subniger","Bird"
