custom_class,ebird_code,global_label,status
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,spchon1,Acanthagenys rufogularis_Spiny-cheeked Honeyeater,same_label
Acanthiza apicalis_Inland Thornbill,inltho1,Acanthiza apicalis_Inland Thornbill,same_label
Acanthiza chrysorrhoa_Yellow-rumped Thornbill,yertho1,Acanthiza chrysorrhoa_Yellow-rumped Thornbill,same_label
Acanthiza lineata_Striated Thornbill,strtho1,Acanthiza lineata_Striated Thornbill,same_label
Acanthiza nana_Yellow Thornbill,yeltho1,Acanthiza nana_Yellow Thornbill,same_label
Acanthiza pusilla_Brown Thornbill,brotho1,Acanthiza pusilla_Brown Thornbill,same_label
Acanthiza reguloides_Buff-rumped Thornbill,burtho1,Acanthiza reguloides_Buff-rumped Thornbill,same_label
Acanthiza uropygialis_Chestnut-rumped Thornbill,chrtho1,Acanthiza uropygialis_Chestnut-rumped Thornbill,same_label
Acanthorhynchus tenuirostris_Eastern Spinebill,easspi1,Acanthorhynchus tenuirostris_Eastern Spinebill,same_label
Acridotheres tristis_Common Myna,commyn,Acridotheres tristis_Common Myna,same_label
Acrocephalus australis_Australian Reed Warbler,aurwar1,Acrocephalus australis_Australian Reed Warbler,same_label
Actitis hypoleucos_Common Sandpiper,comsan,Actitis hypoleucos_Common Sandpiper,same_label
Aegotheles cristatus_Australian Owlet Nightjar,auonig1,Aegotheles cristatus_Australian Owlet-nightjar,renamed_since_global
Ailuroedus crassirostris_Green Catbird,grecat1,Ailuroedus crassirostris_Green Catbird,same_label
Alauda arvensis_Eurasian Skylark,skylar,Alauda arvensis_Eurasian Skylark,same_label
Alisterus scapularis_Australian King-Parrot,aukpar1,Alisterus scapularis_Australian King-Parrot,same_label
Amytornis barbatus_Grey Grasswren,grygra1,,not_in_global_model
Amytornis goyderi_Eyrean Grasswren,eyrgra1,,not_in_global_model
Amytornis modestus_Thick-billed Grasswren,thbgra4,,not_in_global_model
Anarhynchus ruficapillus_Red-capped Plover,recplo1,,not_in_global_model
Anas castanea_Chestnut Teal,chetea1,Anas castanea_Chestnut Teal,same_label
Anas gracilis_Grey Teal,gretea1,Anas gracilis_Gray Teal,renamed_since_global
Anas superciliosa_Pacific Black Duck,pabduc1,Anas superciliosa_Pacific Black Duck,same_label
Anhinga novaehollandiae_Australasian Darter,darter4,Anhinga novaehollandiae_Australasian Darter,same_label
Anthochaera carunculata_Red Wattlebird,redwat1,Anthochaera carunculata_Red Wattlebird,same_label
Anthochaera chrysoptera_Little Wattlebird,bruwat1,Anthochaera chrysoptera_Little Wattlebird,same_label
Anthochaera phrygia_Regent Honeyeater,reghon1,Anthochaera phrygia_Regent Honeyeater,same_label
Anthus novaeseelandiae_Australian Pipit,auspip3,Anthus novaeseelandiae_Australasian Pipit,renamed_since_global
Antigone rubicunda_Brolga,brolga1,Antigone rubicunda_Brolga,same_label
Aphelocephala leucopsis_Southern Whiteface,souwhi1,Aphelocephala leucopsis_Southern Whiteface,same_label
Aphelocephala nigricincta_Banded Whiteface,banwhi1,,not_in_global_model
Aprosmictus erythropterus_Red-winged Parrot,rewpar1,Aprosmictus erythropterus_Red-winged Parrot,same_label
Aquila audax_Wedge-tailed Eagle,weteag1,,not_in_global_model
Ardea alba_Great Egret,greegr,Ardea alba_Great Egret,same_label
Ardea coromanda_Eastern Cattle Egret,categr2,,not_in_global_model
Ardea pacifica_White-necked Heron,pacher1,,not_in_global_model
Ardea plumifera_Plumed Egret,integr2,,not_in_global_model
Ardeotis australis_Australian Bustard,ausbus1,,not_in_global_model
Artamus cinereus_Black-faced Woodswallow,blfwoo1,Artamus cinereus_Black-faced Woodswallow,same_label
Artamus cyanopterus_Dusky Woodswallow,duswoo1,Artamus cyanopterus_Dusky Woodswallow,same_label
Artamus leucorynchus_White-breasted Woodswallow,whbwoo4,Artamus leucorynchus_White-breasted Woodswallow,same_label
Artamus minor_Little Woodswallow,litwoo4,,not_in_global_model
Artamus personatus_Masked Woodswallow,maswoo1,Artamus personatus_Masked Woodswallow,same_label
Artamus superciliosus_White-browed Woodswallow,whbwoo5,Artamus superciliosus_White-browed Woodswallow,same_label
Aviceda subcristata_Pacific Baza,pacbaz1,Aviceda subcristata_Pacific Baza,same_label
Aythya australis_Hardhead,wheduc1,,not_in_global_model
Barnardius zonarius_Australian Ringneck,polpar1,Barnardius zonarius_Australian Ringneck,same_label
Biziura lobata_Musk Duck,musduc1,Biziura lobata_Musk Duck,same_label
Burhinus grallarius_Bush Thick-knee,butkne1,Burhinus grallarius_Bush Thick-knee,same_label
Cacatua galerita_Sulphur-crested Cockatoo,succoc,Cacatua galerita_Sulphur-crested Cockatoo,same_label
Cacatua leadbeateri_Pink Cockatoo,pincoc1,Lophochroa leadbeateri_Pink Cockatoo,renamed_since_global
Cacatua sanguinea_Little Corella,litcor2,Cacatua sanguinea_Little Corella,same_label
Cacatua tenuirostris_Long-billed Corella,lobcor1,Cacatua tenuirostris_Long-billed Corella,same_label
Cacomantis flabelliformis_Fan-tailed Cuckoo,fatcuc1,Cacomantis flabelliformis_Fan-tailed Cuckoo,same_label
Cacomantis variolosus_Sahul Brush Cuckoo,brucuc3,Cacomantis variolosus_Brush Cuckoo,renamed_since_global
Calamanthus campestris_Rufous Fieldwren,ruffie2,,not_in_global_model
Calidris acuminata_Sharp-tailed Sandpiper,shtsan,Calidris acuminata_Sharp-tailed Sandpiper,same_label
Calidris ferruginea_Curlew Sandpiper,cursan,Calidris ferruginea_Curlew Sandpiper,same_label
Caligavis chrysops_Yellow-faced Honeyeater,yefhon1,Caligavis chrysops_Yellow-faced Honeyeater,same_label
Callocephalon fimbriatum_Gang-gang Cockatoo,gagcoc1,Callocephalon fimbriatum_Gang-gang Cockatoo,same_label
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,rtbcoc1,Calyptorhynchus banksii_Red-tailed Black-Cockatoo,same_label
Calyptorhynchus lathami_Glossy Black-Cockatoo,glbcoc1,Calyptorhynchus lathami_Glossy Black-Cockatoo,same_label
Carduelis carduelis_European Goldfinch,eurgol,Carduelis carduelis_European Goldfinch,same_label
Centropus phasianinus_Pheasant Coucal,phecou2,Centropus phasianinus_Pheasant Coucal,same_label
Certhionyx variegatus_Pied Honeyeater,piehon1,Certhionyx variegatus_Pied Honeyeater,same_label
Ceyx azureus_Azure Kingfisher,azukin1,Ceyx azureus_Azure Kingfisher,same_label
Chalcites basalis_Horsfield's Bronze-Cuckoo,hobcuc1,Chrysococcyx basalis_Horsfield's Bronze-Cuckoo,renamed_since_global
